,ARI,NMI,Jaccard,cov,n,type
3,0.9979949531636971,0.9933660217110626,0.998550322394562,tied,5,pca
4,0.9979949531636971,0.9933660217110626,0.998550322394562,tied,5,pca
5,0.9979949531636971,0.9933660217110626,0.28465007018775224,tied,5,pca
6,0.9979949531636971,0.9933660217110626,0.28474712901128163,tied,5,pca
7,0.9979949531636971,0.9933660217110626,0.0002,tied,5,pca
8,0.9979949531636971,0.9933660217110626,0.0014001507332794428,tied,5,pca
9,0.9979949531636971,0.9933660217110626,0.0,tied,5,pca
0,0.5197966617071968,0.7106842580124171,0.28586,tied,6,pca
1,1.0,1.0,0.28485,tied,6,pca
2,1.0,1.0,0.00085,tied,6,pca
3,0.5196140880549858,0.7096243744096491,0.19013685853601572,tied,6,pca
4,0.9998400867603243,0.9995535648555317,0.0004,tied,6,pca
5,0.5196140880549858,0.7096243744096491,0.0,tied,6,pca
6,0.5196818435901641,0.7104992195785046,0.0,tied,6,pca
7,0.5196140880549858,0.7096243744096491,0.28494976845151954,tied,6,pca
8,0.5197966617071968,0.7106842580124171,0.28586,tied,6,pca
9,0.5196818435901641,0.7104992195785046,0.28475,tied,6,pca
0,0.9969309188479472,0.9922050818720483,0.00024214916584887146,tied,7,pca
1,1.0,1.0,0.28475,tied,7,pca
2,1.0,1.0,0.34585,tied,7,pca
3,0.5202068414444423,0.71286487907081,4.9934952298352134e-05,tied,7,pca
4,0.9969309188479472,0.992205081872048,0.0,tied,7,pca
5,0.519270888651839,0.7083181831487734,0.0001299421714616163,tied,7,pca
6,0.9974102846681355,0.9931206872549171,0.0,tied,7,pca
7,0.9924740483284349,0.9852937992959441,0.0,tied,7,pca
8,0.5192709443477663,0.7083223775707053,0.0002998264140026038,tied,7,pca
9,0.9969309188479472,0.9922050818720483,0.28489974901556964,tied,7,pca
0,0.999360524179476,0.9984729266046362,0.28664684343434343,tied,8,pca
1,0.9996798112210955,0.9988781300692787,0.0,tied,8,pca
2,1.0,1.0,0.0009,tied,8,pca
3,0.9937800122809732,0.98910750802322,0.6279109550561798,tied,8,pca
4,1.0,1.0,0.0013,tied,8,pca
5,0.9996802161430398,0.9991740911716568,0.0006984217171717172,tied,8,pca
6,0.9996798122904993,0.9989404897442037,0.00054,tied,8,pca
7,0.9147473035464773,0.9019131044955828,0.009193641661432583,tied,8,pca
8,1.0,1.0,0.0,tied,8,pca
9,1.0,1.0,0.0,tied,8,pca
0,0.9133195514029252,0.9016334001240854,0.326160178919386,tied,9,pca
1,0.7615699916220714,0.8042845433057133,0.272160570931749,tied,9,pca
2,0.8241522135592021,0.840288619495015,0.00010009384384384386,tied,9,pca
3,0.7612349185621374,0.8039988352367775,0.0,tied,9,pca
4,0.8205993236345616,0.8381422931255132,0.06849598352214213,tied,9,pca
