model,mavg,glm_family
spherical_2,0.7011439166601446,logit
spherical_2,0.6987718800565386,probit
spherical_2,0.6915942329616919,cauchy
spherical_2,0.7163010521871773,loglog
spherical_2,0.7093715612814797,cloglog
spherical_2_pca,0.6973126002170739,logit
spherical_2_pca,0.6944522059909434,probit
spherical_2_pca,0.6880441385728695,cauchy
spherical_2_pca,0.695683125480692,loglog
spherical_2_pca,0.7045551615444203,cloglog
spherical_3,0.6844096621400731,logit
spherical_3,0.6903452385509788,probit
spherical_3,0.6781420177491974,cauchy
spherical_3,0.6908875668860379,loglog
spherical_3,0.6799598834678293,cloglog
spherical_3_pca,0.6874727789313171,logit
spherical_3_pca,0.7025482613093159,probit
spherical_3_pca,0.6537339694066783,cauchy
spherical_3_pca,0.6675430936631623,loglog
spherical_3_pca,0.6665618707877,cloglog
spherical_4,0.6901386437259953,logit
spherical_4,0.6947584374802214,probit
spherical_4,0.6784079393545359,cauchy
spherical_4,0.6814594198488522,loglog
spherical_4,0.6857707439732971,cloglog
spherical_4_pca,0.6393461002396863,logit
spherical_4_pca,0.6487245707565635,probit
spherical_4_pca,0.6392907029526016,cauchy
spherical_4_pca,0.6505140421893424,loglog
spherical_4_pca,0.6416592136656637,cloglog
spherical_5,0.6668191662590071,logit
spherical_5,0.678837486490434,probit
spherical_5,0.6632920202829607,cauchy
spherical_5,0.6757656028002034,loglog
spherical_5,0.6759638821574123,cloglog
spherical_5_pca,0.6304690487079573,logit
spherical_5_pca,0.6380626206832906,probit
spherical_5_pca,0.6304039303259901,cauchy
spherical_5_pca,0.6318600767791381,loglog
spherical_5_pca,0.6291543817129072,cloglog
spherical_6,0.6538063072737419,logit
spherical_6,0.6489077950552371,probit
spherical_6,0.6438884215146878,cauchy
spherical_6,0.6512424409432817,loglog
spherical_6,0.6567096278527332,cloglog
spherical_6_pca,0.6403786286387899,logit
spherical_6_pca,0.6372880854925501,probit
spherical_6_pca,0.631640795121735,cauchy
spherical_6_pca,0.6359523474823261,loglog
spherical_6_pca,0.6347273511247608,cloglog
spherical_7,0.6530212278541506,logit
spherical_7,0.6539864486426513,probit
spherical_7,0.6546588208385711,cauchy
spherical_7,0.6497186289888702,loglog
spherical_7,0.6613961726476569,cloglog
spherical_7_pca,0.6371611281542141,logit
spherical_7_pca,0.628281941871682,probit
spherical_7_pca,0.6260458386841767,cauchy
spherical_7_pca,0.6377141820808864,loglog
spherical_7_pca,0.6397191407986521,cloglog
spherical_8,0.6496950150632615,logit
spherical_8,0.6548541933176854,probit
spherical_8,0.6438147352064083,cauchy
spherical_8,0.6528163957235296,loglog
spherical_8,0.6561319760392716,cloglog
spherical_8_pca,0.645807381957337,logit
spherical_8_pca,0.6450926576526655,probit
spherical_8_pca,0.6571213880715817,cauchy
spherical_8_pca,0.6501302270652818,loglog
spherical_8_pca,0.6364177497779366,cloglog
spherical_9,0.6646767555704906,logit
spherical_9,0.6668692484376244,probit
spherical_9,0.6626458754931274,cauchy
spherical_9,0.6646878203701657,loglog
spherical_9,0.6665180062665698,cloglog
spherical_9_pca,0.6560061844197036,logit
spherical_9_pca,0.652130476524375,probit
spherical_9_pca,0.6353733766831505,cauchy
spherical_9_pca,0.6480570182439135,loglog
spherical_9_pca,0.6500587320553324,cloglog
spherical_10,0.6610600330581439,logit
spherical_10,0.6601756081776506,probit
spherical_10,0.6461302777360803,cauchy
spherical_10,0.661617892956162,loglog
spherical_10,0.6533681002637874,cloglog
spherical_10_pca,0.6447892500975428,logit
spherical_10_pca,0.6518480089404107,probit
spherical_10_pca,0.627970124182311,cauchy
spherical_10_pca,0.6296109257334753,loglog
spherical_10_pca,0.6402845787292419,cloglog
spherical_11,0.6564281205334389,logit
spherical_11,0.6717807266121628,probit
spherical_11,0.6722148672859374,cauchy
spherical_11,0.6652124613748759,loglog
spherical_11,0.660624630064649,cloglog
spherical_11_pca,0.6336989328504844,logit
spherical_11_pca,0.6360149073513951,probit
spherical_11_pca,0.6492665678524479,cauchy
spherical_11_pca,0.6381382937424822,loglog
spherical_11_pca,0.6446731678357022,cloglog
spherical_12,0.6396172655312305,logit
spherical_12,0.6430318943545974,probit
spherical_12,0.6514078367683201,cauchy
spherical_12,0.6656119879250173,loglog
spherical_12,0.6517498331984144,cloglog
spherical_12_pca,0.6416453090234847,logit
spherical_12_pca,0.6420299243359605,probit
spherical_12_pca,0.6404732294772869,cauchy
spherical_12_pca,0.6426764416132534,loglog
spherical_12_pca,0.642691449528291,cloglog
